"ID";"BedrijfstakkenWoningen";"RegioS";"Perioden";"AantalInstallaties_1";"OpgesteldVermogenVanZonnepanelen_2"
"168";"E007161";"GM0482";"2012JJ00";"      61";"     123"
"169";"E007161";"GM0482";"2013JJ00";"     203";"     743"
"170";"E007161";"GM0482";"2014JJ00";"     240";"     948"
"171";"E007161";"GM0482";"2015JJ00";"     286";"    1104"
"172";"E007161";"GM0482";"2016JJ00";"     322";"    1303"
"173";"E007161";"GM0482";"2017JJ00";"     381";"    1657"
"174";"E007161";"GM0482";"2018JJ00";"     503";"    2488"
"175";"E007161";"GM0613";"2012JJ00";"      96";"     191"
"176";"E007161";"GM0613";"2013JJ00";"     165";"     443"
"177";"E007161";"GM0613";"2014JJ00";"     260";"     808"
"178";"E007161";"GM0613";"2015JJ00";"     341";"    1078"
"179";"E007161";"GM0613";"2016JJ00";"     396";"    1643"
"180";"E007161";"GM0613";"2017JJ00";"     532";"    2368"
"181";"E007161";"GM0613";"2018JJ00";"     671";"    2978"
"182";"E007161";"GM0361";"2012JJ00";"     760";"    1942"
"183";"E007161";"GM0361";"2013JJ00";"    1423";"    4002"
"184";"E007161";"GM0361";"2014JJ00";"    1847";"    5414"
"185";"E007161";"GM0361";"2015JJ00";"    2238";"    6971"
"186";"E007161";"GM0361";"2016JJ00";"    2641";"   10424"
"187";"E007161";"GM0361";"2017JJ00";"    3309";"   13070"
"188";"E007161";"GM0361";"2018JJ00";"    5017";"   23746"
"189";"E007161";"GM0141";"2012JJ00";"     168";"     525"
"190";"E007161";"GM0141";"2013JJ00";"     420";"    1574"
"191";"E007161";"GM0141";"2014JJ00";"     717";"    2851"
"192";"E007161";"GM0141";"2015JJ00";"    1254";"    5110"
"193";"E007161";"GM0141";"2016JJ00";"    1533";"    6637"
"194";"E007161";"GM0141";"2017JJ00";"    1929";"    8938"
"195";"E007161";"GM0141";"2018JJ00";"    2559";"   12670"
"196";"E007161";"GM0034";"2012JJ00";"    1016";"    2146"
"197";"E007161";"GM0034";"2013JJ00";"    1799";"    5033"
"198";"E007161";"GM0034";"2014JJ00";"    2691";"    8408"
"199";"E007161";"GM0034";"2015JJ00";"    3879";"   13258"
"200";"E007161";"GM0034";"2016JJ00";"    4737";"   17587"
"201";"E007161";"GM0034";"2017JJ00";"    8000";"   27572"
"202";"E007161";"GM0034";"2018JJ00";"    9734";"   37050"
"203";"E007161";"GM0484";"2012JJ00";"     360";"    1059"
"204";"E007161";"GM0484";"2013JJ00";"     765";"    2679"
"205";"E007161";"GM0484";"2014JJ00";"    1260";"    4577"
"206";"E007161";"GM0484";"2015JJ00";"    1779";"    7020"
"207";"E007161";"GM0484";"2016JJ00";"    2225";"    9497"
"208";"E007161";"GM0484";"2017JJ00";"    3062";"   14089"
"209";"E007161";"GM0484";"2018JJ00";"    4630";"   21012"
"210";"E007161";"GM1723";"2012JJ00";"      38";"     194"
"211";"E007161";"GM1723";"2013JJ00";"      77";"     394"
"212";"E007161";"GM1723";"2014JJ00";"     123";"     888"
"213";"E007161";"GM1723";"2015JJ00";"     191";"    1296"
"214";"E007161";"GM1723";"2016JJ00";"     251";"    2006"
"215";"E007161";"GM1723";"2017JJ00";"     322";"    2500"
"216";"E007161";"GM1723";"2018JJ00";"     410";"    3520"
"217";"E007161";"GM0060";"2012JJ00";"      41";"      88"
"218";"E007161";"GM0060";"2013JJ00";"      81";"     238"
"219";"E007161";"GM0060";"2014JJ00";"     122";"     481"
"220";"E007161";"GM0060";"2015JJ00";"     150";"    6581"
"221";"E007161";"GM0060";"2016JJ00";"     170";"    6656"
"222";"E007161";"GM0060";"2017JJ00";"     199";"    6797"
"223";"E007161";"GM0060";"2018JJ00";"     238";"    7226"
"224";"E007161";"GM0307";"2012JJ00";"    1199";"    2901"
"225";"E007161";"GM0307";"2013JJ00";"    1785";"    4702"
"226";"E007161";"GM0307";"2014JJ00";"    2403";"    6897"
"227";"E007161";"GM0307";"2015JJ00";"    3038";"    9145"
"228";"E007161";"GM0307";"2016JJ00";"    3769";"   11887"
"229";"E007161";"GM0307";"2017JJ00";"    4885";"   15972"
"230";"E007161";"GM0307";"2018JJ00";"    7426";"   25441"
"231";"E007161";"GM0362";"2012JJ00";"     175";"     640"
"232";"E007161";"GM0362";"2013JJ00";"     531";"    1614"
"233";"E007161";"GM0362";"2014JJ00";"     839";"    2784"
"234";"E007161";"GM0362";"2015JJ00";"    1139";"    4111"
"235";"E007161";"GM0362";"2016JJ00";"    1411";"    4967"
"236";"E007161";"GM0362";"2017JJ00";"    1592";"    5891"
"237";"E007161";"GM0362";"2018JJ00";"    1926";"    7577"
"238";"E007161";"GM0363";"2012JJ00";"    1223";"    4019"
"239";"E007161";"GM0363";"2013JJ00";"    1885";"    6163"
"240";"E007161";"GM0363";"2014JJ00";"    2888";"   12265"
"241";"E007161";"GM0363";"2015JJ00";"    4129";"   17556"
"242";"E007161";"GM0363";"2016JJ00";"    5493";"   24475"
"243";"E007161";"GM0363";"2017JJ00";"    7812";"   33991"
"244";"E007161";"GM0363";"2018JJ00";"   10322";"   52025"
"245";"E007161";"GM0200";"2012JJ00";"     948";"    2015"
"246";"E007161";"GM0200";"2013JJ00";"    1657";"    4551"
"247";"E007161";"GM0200";"2014JJ00";"    2313";"    7066"
"248";"E007161";"GM0200";"2015JJ00";"    4061";"   11488"
"249";"E007161";"GM0200";"2016JJ00";"    5056";"   14929"
"250";"E007161";"GM0200";"2017JJ00";"    6336";"   20971"
"251";"E007161";"GM0200";"2018JJ00";"    8170";"   35521"
"252";"E007161";"GM0003";"2012JJ00";"       .";"       ."
"253";"E007161";"GM0003";"2013JJ00";"       .";"       ."
"254";"E007161";"GM0003";"2014JJ00";"     151";"     499"
"255";"E007161";"GM0003";"2015JJ00";"     735";"    2162"
"256";"E007161";"GM0003";"2016JJ00";"     928";"    2919"
"257";"E007161";"GM0003";"2017JJ00";"    1049";"    3490"
"258";"E007161";"GM0003";"2018JJ00";"    1168";"    4043"
"259";"E007161";"GM0202";"2012JJ00";"     359";"     808"
"260";"E007161";"GM0202";"2013JJ00";"     825";"    2543"
"261";"E007161";"GM0202";"2014JJ00";"    1202";"    4007"
"262";"E007161";"GM0202";"2015JJ00";"    1858";"    5695"
"263";"E007161";"GM0202";"2016JJ00";"    2669";"   10603"
